Time [sec]		Acceleration [m/sec2]	Velocity [mm/sec]	Displacement [mm]
0.00000   		0.00067         	0.00000          	0.00000          
0.00500   		-0.00207        	-0.00350         	-0.00000         
0.01000   		0.00471         	0.00310          	-0.00002         
0.01500   		0.00445         	0.02601          	0.00006          
0.02000   		-0.00203        	0.03206          	0.00021          
0.02500   		0.00230         	0.03274          	0.00037          
0.03000   		0.00289         	0.04574          	0.00056          
0.03500   		0.00294         	0.06033          	0.00083          
0.04000   		-0.00124        	0.06461          	0.00115          
0.04500   		-0.00227        	0.05583          	0.00145          
0.05000   		0.00341         	0.05869          	0.00173          
0.05500   		0.00161         	0.07125          	0.00205          
0.06000   		-0.00067        	0.07360          	0.00242          
0.06500   		-0.00049        	0.07070          	0.00278          
0.07000   		0.00322         	0.07752          	0.00314          
0.07500   		0.00197         	0.09049          	0.00357          
0.08000   		-0.00019        	0.09494          	0.00403          
0.08500   		0.00075         	0.09634          	0.00451          
0.09000   		0.00031         	0.09899          	0.00500          
0.09500   		0.00213         	0.10509          	0.00551          
0.10000   		-0.00280        	0.10341          	0.00604          
0.10500   		-0.00060        	0.09492          	0.00653          
0.11000   		0.00375         	0.10281          	0.00701          
0.11500   		-0.00010        	0.11194          	0.00756          
0.12000   		0.00030         	0.11244          	0.00812          
0.12500   		-0.00097        	0.11076          	0.00868          
0.13000   		0.00314         	0.11619          	0.00924          
0.13500   		0.00323         	0.13211          	0.00986          
0.14000   		-0.00321        	0.13215          	0.01053          
0.14500   		-0.00140        	0.12061          	0.01116          
0.15000   		0.00054         	0.11844          	0.01176          
0.15500   		0.00010         	0.12003          	0.01235          
0.16000   		-0.00570        	0.10602          	0.01293          
0.16500   		-0.00439        	0.08079          	0.01339          
0.17000   		0.00096         	0.07221          	0.01377          
0.17500   		-0.00143        	0.07103          	0.01413          
0.18000   		-0.00048        	0.06626          	0.01447          
0.18500   		-0.00205        	0.05993          	0.01479          
0.19000   		0.00136         	0.05820          	0.01508          
0.19500   		0.00094         	0.06395          	0.01538          
0.20000   		-0.00479        	0.05431          	0.01569          
0.20500   		-0.00001        	0.04231          	0.01592          
0.21000   		-0.00030        	0.04153          	0.01613          
0.21500   		-0.00036        	0.03989          	0.01634          
0.22000   		-0.00140        	0.03549          	0.01653          
0.22500   		-0.00191        	0.02722          	0.01668          
0.23000   		0.00350         	0.03121          	0.01682          
0.23500   		0.00028         	0.04065          	0.01701          
0.24000   		-0.00234        	0.03550          	0.01720          
0.24500   		-0.00099        	0.02718          	0.01736          
0.25000   		0.00035         	0.02557          	0.01748          
0.25500   		0.00009         	0.02667          	0.01762          
0.26000   		-0.00304        	0.01931          	0.01774          
0.26500   		-0.00263        	0.00514          	0.01780          
0.27000   		0.00199         	0.00353          	0.01781          
0.27500   		0.00071         	0.01028          	0.01785          
0.28000   		-0.00488        	-0.00017         	0.01788          
0.28500   		-0.00045        	-0.01351         	0.01784          
0.29000   		0.00164         	-0.01054         	0.01778          
0.29500   		0.00266         	0.00021          	0.01775          
0.30000   		0.00073         	0.00870          	0.01777          
0.30500   		-0.00132        	0.00722          	0.01782          
0.31000   		0.00747         	0.02260          	0.01787          
0.31500   		0.00228         	0.04698          	0.01806          
0.32000   		-0.00001        	0.05267          	0.01831          
0.32500   		0.00237         	0.05858          	0.01859          
0.33000   		-0.00007        	0.06433          	0.01890          
